Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
ean qi chong,82.88,312.5,84,IPF,2023-08-27,world junior and sub-junior classic championships
ecem özçeli̇kçi̇,82.76,332.5,84,IPF,2023-08-27,world junior and sub-junior classic championships
edina magyar,72.22,312.5,84,EPF,2015-03-21,1st european women's classic championships
edita kanátová,61.93,335.0,63,IPF,2018-06-06,world classic powerlifting championships
edita kanátová,67.74,360.0,69,EPF,2023-02-28,european masters classic powerlifting championships
edith guennec,54.52,315.5,57,IPF,2016-06-19,world classic powerlifting championships
edith guennec,58.75,320.0,63,EPF,2020-03-09,european masters classic powerlifting championships
eduarda goncalves,59.85,277.5,63,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
edyta marciniszyn,67.85,415.0,69,IPF,2023-06-11,world classic powerlifting championships
eerika palosaari,51.98,297.5,52,IPF,2023-08-27,world junior and sub-junior classic championships
effrosyni-maria gkadolou,68.75,370.0,69,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
eglė turakevičiūtė,61.2,312.5,63,EPF,2018-11-24,european classic powerlifting championships
eglė turakevičiūtė,69.6,340.0,72,EPF,2019-11-29,european classic powerlifting championships
eila kumpuniemi,46.42,222.5,47,IPF,2015-06-05,world classic powerlifting championships
eileen duplooy,71.4,412.5,72,IPF,2014-06-01,world classic powerlifting championships
eileen duplooy,75.41,455.0,84,IPF,2015-06-05,world classic powerlifting championships
eilen pollen,68.38,417.5,69,EPF,2024-02-12,european masters classic powerlifting championships
einasleigh happer,81.77,407.5,84,IPF,2017-06-14,world classic powerlifting championships
ekaterina ageeva,46.95,297.5,47,EPF,2018-11-24,european classic powerlifting championships
ekaterina alikina,42.35,242.5,43,IPF,2013-06-11,world classic powerlifting championships
ekaterina antošová,55.5,280.0,57,IPF,2018-07-09,3rd world university powerlifting cup
ekaterina biryukova,56.43,305.0,57,IPF,2018-07-09,3rd world university powerlifting cup
ekaterina bratus,82.95,435.0,84,IPF,2014-06-01,world classic powerlifting championships
ekaterina kruk,46.25,270.0,47,EPF,2019-11-29,european classic powerlifting championships
ekaterina kryukova,70.45,455.0,72,IPF,2013-06-11,world classic powerlifting championships
ekaterina nazarova,56.55,375.0,57,EPF,2019-11-29,european classic powerlifting championships
ekaterina nazarova,57.75,377.5,63,EPF,2020-02-25,european university cup
ekaterina yashkina,68.2,377.5,72,IPF,2013-06-11,world classic powerlifting championships
ekaterina zhilcova,42.85,207.5,43,IPF,2013-06-11,world classic powerlifting championships
ekaterina zhiltcova,42.66,235.0,43,IPF,2016-06-19,world classic powerlifting championships
elaine jackson #2,109.7,400.0,84+,IPF,2023-10-08,world masters classic & equipped powerlifting championships
eleanor bouttell,56.45,292.5,57,IPF,2018-07-09,3rd world university powerlifting cup
eleanor bouttell,62.95,350.0,63,IPF,2019-07-22,university powerlifting cup
elena bardina,56.5,280.0,57,IPF,2019-06-04,world classic powerlifting championships
elena borgatti,46.36,320.0,47,EPF,2024-02-12,european masters classic powerlifting championships
elena cabezas,71.91,330.0,72,EPF,2017-09-23,arnold's europe powerlifting championships
elena galbucci,42.95,260.0,43,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elena ivanova,83.59,447.5,84,IPF,2015-06-05,world classic powerlifting championships
elena lutsenko,62.55,391.0,63,IPF,2019-06-04,world classic powerlifting championships
elena marquez,61.59,295.0,63,IPF,2017-06-14,world classic powerlifting championships
elena mijatović,73.97,372.5,76,EPF,2022-11-25,european classic powerlifting championships
elena mijatović,78.22,377.5,84,IPF,2023-10-31,world university powerlifting cup
elena offidani,55.85,425.0,57,EPF,2024-09-13,western european powerlifting championships
elena sanchez teruel,54.65,342.5,57,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elena shcherbakova,56.5,402.5,57,EPF,2018-11-24,european classic powerlifting championships
elena toksarova,42.2,217.5,43,EPF,2019-11-29,european classic powerlifting championships
elena zuccaro,58.13,430.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
eleni guerrera,56.15,413.5,57,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
eleni kamvissis,71.4,375.0,72,IPF,2012-06-12,world classic powerlifting cup
eleonaora spisni,74.2,485.0,76,EPF,2024-09-13,western european powerlifting championships
eleonora pontoni,68.6,398.0,69,EPF,2021-12-03,european classic powerlifting championships
elien magielse,61.26,307.5,63,EPF,2022-11-25,european classic powerlifting championships
eliise mikomägi,74.95,405.0,76,EPF,2021-12-03,european classic powerlifting championships
eliise peterson,83.25,395.0,84,EPF,2016-03-05,european classic powerlifting championships
elina viklund,66.2,352.5,69,EPF,2023-03-16,european classic university powerlifting cup
elis harrington,60.85,257.5,63,IPF,2017-07-10,world university powerlifting cup
elisa ahonen,62.47,297.5,63,IPF,2015-06-05,world classic powerlifting championships
elisa albers galindo,41.5,270.0,43,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
elisa bellini,79.77,437.5,84,EPF,2019-09-06,western european championships
elisa elleuch,75.56,355.0,76,EPF,2022-03-24,european university cup
elisa ferraioli,50.5,327.5,52,EPF,2019-11-29,european classic powerlifting championships
elisa guidi,55.18,387.5,57,EPF,2023-02-28,european masters classic powerlifting championships
elisa misiano,51.65,387.5,52,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
elisa vinante,56.3,360.0,57,IPF,2021-09-23,world classic powerlifting championships
elisabeth barry,46.37,247.5,47,IPF,2017-06-14,world classic powerlifting championships
elisabeth barry,49.95,260.0,52,IPF,2014-06-01,world classic powerlifting championships
elisabeth haakonsen,55.9,350.0,57,IPF,2023-08-27,world junior and sub-junior classic championships
elisabeth keiml,59.8,327.5,63,EPF,2019-03-05,european masters classic championships
elisabeth suits,61.68,405.0,63,EPF,2023-12-04,european open classic powerlifting championships
elisabeth wahlander,70.05,382.5,72,IPF,2015-06-05,world classic powerlifting championships
elise bouvier,66.99,440.0,69,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elise idora,62.8,420.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elise lombardo,55.35,295.0,57,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
elise rummens,56.15,402.5,57,IPF,2023-06-11,world classic powerlifting championships
elise white,79.45,362.5,84,IPF,2019-07-22,university powerlifting cup
eliza gerlach,52.0,402.5,52,IPF,2024-06-15,world classic powerlifting championships
elizabeth craven,51.69,413.5,52,IPF,2017-06-14,world classic powerlifting championships
elizabeth craven,56.5,407.5,57,IPF,2023-06-11,world classic powerlifting championships
elizabeth hall,85.9,382.5,84+,IPF,2024-10-05,world classic & equipped masters powerlifting championships
elizabeth napoli,70.9,425.0,72,IPF,2019-06-04,world classic powerlifting championships
elizaveta nikitina,51.66,380.0,52,IPF,2021-09-23,world classic powerlifting championships
elizaveta pechenkina,56.5,357.5,57,IPF,2021-09-23,world classic powerlifting championships
eliška ročárková,56.38,362.5,57,IPF,2024-07-23,fisu world university powerlifting championships
eliška trnková,74.35,382.5,76,EPF,2022-03-24,european university cup
eliška trnková,80.29,417.5,84,EPF,2022-11-25,european classic powerlifting championships
elke de leeuw,71.23,355.0,72,EPF,2020-02-25,european university cup
elke de leeuw,74.93,420.0,76,EPF,2022-11-25,european classic powerlifting championships
ella dronfield,68.04,435.0,69,IPF,2024-07-23,fisu world university powerlifting championships
ella esztergalyos,65.5,312.5,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
ella lowenberg,81.45,270.0,84,IPF,2014-06-01,world classic powerlifting championships
ella morgan,61.54,310.0,63,IPF,2018-07-09,3rd world university powerlifting cup
ella smallcombe,74.25,342.5,76,EPF,2022-11-25,european classic powerlifting championships
ella-louise handley,62.11,350.0,63,IPF,2018-07-09,3rd world university powerlifting cup
ellen akesson,62.85,460.0,63,EPF,2024-09-13,western european powerlifting championships
ellen b. åkesson,62.4,440.5,63,IPF,2024-07-23,fisu world university powerlifting championships
ellen b. åkesson,68.02,447.5,69,IPF,2023-10-31,world university powerlifting cup
ellen depreitere,90.36,397.5,84+,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
ellen grönlund,75.56,530.0,76,IPF,2023-08-27,world junior and sub-junior classic championships
ellen meresmaa,74.9,392.5,76,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
ellen o'leary,56.33,342.5,57,EPF,2022-11-25,european classic powerlifting championships
ellen ýr jónsdóttir,81.97,420.0,84,IPF,2018-06-06,world classic powerlifting championships
ellie steel,56.9,415.0,57,IPF,2019-06-04,world classic powerlifting championships
ellinor kempe,56.74,300.0,57,EPF,2023-02-28,european masters classic powerlifting championships
ellinor svensson,82.94,505.0,84,EPF,2022-11-25,european classic powerlifting championships
ellissa hull,50.31,347.5,52,IPF,2018-06-06,world classic powerlifting championships
elmira abdullaeva,46.75,310.0,47,EPF,2021-12-03,european classic powerlifting championships
eloena heijerman,65.73,315.0,69,EPF,2023-03-16,european classic university powerlifting cup
eloïse bastien,41.5,262.5,43,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
elsa blanchette,82.9,412.5,84,IPF,2022-08-31,world junior classic powerlifting championships
elsa prandi merino,61.33,440.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elsa pálsdóttir,73.94,375.5,76,EPF,2023-02-28,european masters classic powerlifting championships
elsa sörman paulsson,62.45,437.5,63,EPF,2021-12-03,european classic powerlifting championships
elsa sörman paulsson,66.39,460.0,69,EPF,2022-11-25,european classic powerlifting championships
elspeth mcleod,56.75,375.0,57,EPF,2018-11-24,european classic powerlifting championships
elspeth mcleod,57.01,342.5,63,IPF,2017-06-14,world classic powerlifting championships
elvira satova,42.9,137.5,43,IPF,2022-08-31,world junior classic powerlifting championships
elyna weber,80.25,367.5,84,EPF,2022-12-17,benelux open powerlifting tournament
elín melgar aðalheiðardóttir,61.78,357.5,63,IPF,2015-06-05,world classic powerlifting championships
ema-sinead zammit,65.9,307.5,69,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
emelie leach,149.15,649.0,84+,EPF,2022-11-25,european classic powerlifting championships
emelie olin,56.79,450.0,57,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
emelie pettersson,116.58,562.5,84+,IPF,2017-06-14,world classic powerlifting championships
emilia martin,68.25,365.0,69,IPF,2022-08-31,world junior classic powerlifting championships
emilia rutkowska,62.77,385.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
emilia rutkowska,64.06,372.5,69,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
emilia sobiech-konopa,62.7,367.5,63,EPF,2018-11-24,european classic powerlifting championships
emilie mouchet,80.6,517.5,84,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
emily bennett,71.58,437.5,72,EPF,2019-09-06,western european championships
emily bennett,75.55,482.5,76,EPF,2021-12-03,european classic powerlifting championships
emily byrne #1,67.36,387.5,69,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
emily cassista,54.66,357.5,57,IPF,2016-07-11,world university powerlifting cup
emily caton,50.27,330.0,52,IPF,2023-10-31,world university powerlifting cup
emily diaz,81.34,410.0,84,IPF,2018-06-06,world classic powerlifting championships
emily fellingham,55.94,240.0,57,IPF,2019-07-22,university powerlifting cup
emily finnern,56.76,412.5,57,IPF,2021-09-23,world classic powerlifting championships
emily gardner #1,55.32,348.0,57,IPF,2016-06-19,world classic powerlifting championships
emily gardner #1,60.25,367.5,63,IPF,2018-06-06,world classic powerlifting championships
emily ho,46.64,297.5,47,IPF,2018-06-06,world classic powerlifting championships
emily lloyd whittington,62.39,395.0,63,IPF,2018-06-06,world classic powerlifting championships
emily manire,51.9,287.5,52,IPF,2022-08-31,world junior classic powerlifting championships
emily mazilu,54.36,292.5,57,EPF,2017-03-12,european classic powerlifting championships
emily przeslak,45.9,257.5,47,IPF,2016-06-19,world classic powerlifting championships
emily zur linden,61.8,487.5,63,IPF,2024-06-15,world classic powerlifting championships
emma andersson,82.49,425.0,84,IPF,2015-06-05,world classic powerlifting championships
emma arusyak badalyan,62.25,430.0,63,EPF,2021-12-03,european classic powerlifting championships
emma castro,55.86,260.0,57,EPF,2022-03-24,european university cup
emma drackford,56.35,332.5,57,IPF,2023-10-08,world masters classic & equipped powerlifting championships
emma glennon,56.87,145.0,57,IPF,2018-07-09,3rd world university powerlifting cup
emma goodwin,51.63,370.0,52,EPF,2019-09-06,western european championships
emma granlund,46.15,340.0,47,EPF,2021-12-03,european classic powerlifting championships
emma hammann,79.85,380.0,84,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
emma honkonen,56.84,315.0,57,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
emma kiely,83.3,380.0,84,IPF,2019-06-04,world classic powerlifting championships
emma kiely,107.86,390.0,84+,EPF,2023-02-28,european masters classic powerlifting championships
emma machwate,75.73,467.5,76,IPF,2024-07-23,fisu world university powerlifting championships
emma maria proserpio,66.65,495.0,69,EPF,2024-09-13,western european powerlifting championships
emma mcdermott,62.85,387.5,63,IPF,2019-06-04,world classic powerlifting championships
emma mcdermott,68.84,440.0,69,IPF,2021-09-23,world classic powerlifting championships
emma mcdermott,70.7,420.0,72,EPF,2019-11-29,european classic powerlifting championships
emma mcdermott,75.58,477.5,76,EPF,2023-12-04,european open classic powerlifting championships
emma mcrae,51.4,345.0,52,IPF,2016-06-19,world classic powerlifting championships
emma omani,67.2,460.0,69,EPF,2021-12-03,european classic powerlifting championships
emma pettersson,82.95,380.0,84,EPF,2016-03-05,european classic powerlifting championships
emma pettersson,85.4,380.0,84+,IPF,2015-06-05,world classic powerlifting championships
emma richardson,66.25,310.0,72,IPF,2019-07-22,university powerlifting cup
emma victoria talvik,85.22,345.0,84+,IPF,2024-07-23,fisu world university powerlifting championships
emma zilberman-vegas,56.85,407.5,57,IPF,2023-06-11,world classic powerlifting championships
emmannuelle archambault,67.3,425.0,69,IPF,2024-10-05,world classic & equipped masters powerlifting championships
emmannuelle archambault,73.65,415.0,76,IPF,2023-10-08,world masters classic & equipped powerlifting championships
emmi viljanen,50.85,250.0,52,IPF,2019-06-04,world classic powerlifting championships
enia antanovica,61.27,335.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
enikő tóth,75.3,470.0,76,EPF,2024-03-12,european open classic powerlifting championships
enikő tóth,81.1,447.5,84,EPF,2021-12-03,european classic powerlifting championships
eniola osikoya,84.0,365.0,84,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
enna hynynen,46.16,295.0,47,EPF,2022-11-25,european classic powerlifting championships
enni lauttanen,66.1,255.0,69,EPF,2021-12-03,european classic powerlifting championships
eno majomi,71.0,465.0,72,EPF,2019-03-05,european masters classic championships
erholove izobodo-john,82.51,583.0,84,EPF,2024-03-12,european open classic powerlifting championships
erika salamon,56.34,292.5,57,EPF,2023-02-28,european masters classic powerlifting championships
erika szántó,55.86,352.5,57,EPF,2015-03-21,1st european women's classic championships
erin aldcroft,51.65,370.0,52,EPF,2021-12-03,european classic powerlifting championships
erin chiasson,74.4,402.5,76,IPF,2022-08-31,world junior classic powerlifting championships
erin collins,69.75,365.0,72,IPF,2019-06-04,world classic powerlifting championships
erin riddle,55.45,365.0,57,IPF,2024-10-05,world classic & equipped masters powerlifting championships
esmee dijers,62.51,405.0,63,EPF,2021-09-03,western european powerlifting championships
esmee dijjers,62.69,470.0,63,EPF,2024-03-12,european open classic powerlifting championships
esmee neeleman,56.5,338.5,57,EPF,2021-12-03,european classic powerlifting championships
esperanza delgado #2,75.1,470.0,76,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
esraa almasri,60.8,350.0,63,IPF,2023-07-18,arab cup
essi laakso,61.48,360.0,63,IPF,2017-06-14,world classic powerlifting championships
essi laakso,67.12,367.5,72,EPF,2017-03-12,european classic powerlifting championships
essi närvä,67.75,367.5,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
estefania rojo,46.65,257.5,47,IPF,2022-08-31,world junior classic powerlifting championships
estela cuervo usanos,52.0,390.0,52,IPF,2024-06-15,world classic powerlifting championships
estela gomez ahumada,74.27,432.5,76,EPF,2022-09-09,western european powerlifting championships
esteri hakamäki,71.94,310.0,72,EPF,2015-03-21,1st european women's classic championships
esther gutiérrez gutiérrez,56.7,352.5,57,EPF,2019-11-29,european classic powerlifting championships
esther mullings,67.85,422.5,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
esther scott,74.7,465.0,76,IPF,2024-10-05,world classic & equipped masters powerlifting championships
esther wilten,125.26,437.5,84+,IPF,2022-10-08,world masters classic & equipped powerlifting championships
eszter kovacs,60.95,280.0,63,EPF,2015-03-21,1st european women's classic championships
eszter sallai,68.05,490.0,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
eszter sallai,69.8,405.0,72,EPF,2019-11-29,european classic powerlifting championships
eszter sallai,70.79,492.5,76,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
eszter tomacsek,62.35,375.0,63,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
eugenia orlando,62.9,390.0,63,EPF,2019-11-29,european classic powerlifting championships
eulalia baltrons vieta,88.35,330.0,84+,IPF,2024-10-05,world classic & equipped masters powerlifting championships
eva brigitte fernández romero,68.61,342.5,69,EPF,2024-03-01,european university cup
eva buxbom,51.45,310.0,52,IPF,2024-10-05,world classic & equipped masters powerlifting championships
eva de langen,56.35,330.0,57,EPF,2018-11-24,european classic powerlifting championships
eva infantino,55.8,412.5,57,EPF,2024-09-13,western european powerlifting championships
eva polini,61.56,337.5,63,IPF,2023-08-27,world junior and sub-junior classic championships
eva strgar,56.06,377.5,57,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
eva strgar,60.95,395.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
eva vico martínez,67.8,452.5,69,EPF,2021-12-03,european classic powerlifting championships
eva vico martínez,70.1,405.0,72,EPF,2019-11-29,european classic powerlifting championships
eve fordyce,68.33,375.0,72,IPF,2018-07-09,3rd world university powerlifting cup
eve fordyce,72.05,362.5,84,IPF,2017-07-10,world university powerlifting cup
evelien artoos,61.36,365.0,63,EPF,2024-02-12,european masters classic powerlifting championships
eveliina hytönen,83.08,372.5,84,IPF,2015-06-05,world classic powerlifting championships
eveliina hytönen,87.9,355.0,84+,IPF,2014-06-01,world classic powerlifting championships
eveline elizabeth coman,68.15,360.0,69,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
evelyn-tiare kaljurand,68.99,340.0,69,IPF,2024-07-23,fisu world university powerlifting championships
evelyne roos,75.52,335.0,76,EPF,2021-07-07,european masters powerlifting championships
evelyne roos,83.94,357.5,84,IPF,2022-10-08,world masters classic & equipped powerlifting championships
evelyne roos,97.45,397.5,84+,IPF,2023-10-08,world masters classic & equipped powerlifting championships
everita reine-mackevica,55.23,360.0,57,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
evgeniia maksimova,46.7,322.5,47,IPF,2021-09-23,world classic powerlifting championships
evgeniya dukachyova,82.65,527.5,84,IPF,2013-06-11,world classic powerlifting championships
evie bus,81.25,345.0,84,IPF,2018-07-09,3rd world university powerlifting cup
evie corrigan,51.85,481.0,52,IPF,2024-02-10,sheffield powerlifting championships
evie corrigan,56.65,470.0,57,IPF,2022-06-06,world classic powerlifting championships
evita otigbah,56.2,427.5,57,EPF,2024-09-13,western european powerlifting championships
evita talahatu,57.0,385.0,57,EPF,2018-11-24,european classic powerlifting championships
ewa januszkiewicz,60.85,327.5,63,IPF,2014-06-01,world classic powerlifting championships
ewa mioduszewska,46.0,312.5,47,EPF,2018-11-24,european classic powerlifting championships
ewelina sobiech,62.44,337.5,63,IPF,2015-06-05,world classic powerlifting championships
eylul gundogdu,86.65,260.0,84+,IPF,2022-08-31,world junior classic powerlifting championships
eytyxia ananiadou,90.3,497.5,84+,IPF,2015-06-05,world classic powerlifting championships
fabiana bermudez,63.2,287.5,69,IPF,2023-06-11,world classic powerlifting championships
faith anderson,68.62,335.0,69,IPF,2024-07-23,fisu world university powerlifting championships
